,Name,Size,Brand,Sale_Price,Condition,Link
0,LULULEMON ACRO CROP HEATHERED BLACK,6,LULULEMON ATHLETICA,70,N/A,https://poshmark.com/LISTING/LULULEMON-ACRO-CROPHEATHERED-BLACK-60A6D68618013672EA6B57C6
1,LULULEMON STOP AT NOTHING AQUAMARINE CROP LEGGINGS,8,LULULEMON ATHLETICA,35,N/A,https://poshmark.com/LISTING/LULULEMON-STOP-AT-NOTHING-AQUAMARINE-CROP-LEGGINGS-6118859681A36CC3225B10FB
2,LULULEMON CAPRI WIDE LEG LEGGINGS,6,LULULEMON ATHLETICA,25,N/A,https://poshmark.com/LISTING/LULULEMON-CAPRI-WIDE-LEG-LEGGINGS-615A16D909D760BBC9E8178D
3,🍋LULULEMON ASTRO PANT (REGULAR) *FULL-ON LUON,8,LULULEMON ATHLETICA,55,N/A,https://poshmark.com/LISTING/LULULEMON-ASTRO-PANT-REGULAR-FULLON-LUON-616AC435C936AFAA7FD98117
4,LULULEMON ALIGN LEGGING,8,LULULEMON ATHLETICA,95,N/A,https://poshmark.com/LISTING/LULULEMON-ALIGN-LEGGING-610C6DC093649F7C78052738
5,LULULEMON ACRO CROPS SILICONE LOGO PEACOCK FEATHER,4,LULULEMON ATHLETICA,100,N/A,https://poshmark.com/LISTING/LULULEMON-ACRO-CROPS-SILICONE-LOGO-PEACOCK-FEATHER-6164DA98545A799CC7CF5036
6,LULULEMON SPEED TIGHT III - WATERCOLOR LEGGINGS,4,LULULEMON ATHLETICA,89,N/A,https://poshmark.com/LISTING/LULULEMON-SPEED-TIGHT-III-WATERCOLOR-LEGGINGS-6170DC69FADBA477F5693BFF
7,LULULEMON WUNDER UNDER HI-RISE TIGHT * 28,2,LULULEMON ATHLETICA,70,N/A,https://poshmark.com/LISTING/LULULEMON-WUNDER-UNDER-HIRISE-TIGHT-28-60883332C693BDFDBD84ADC6
8,LULULEMON YOGA PANTS 6,6,LULULEMON ATHLETICA,36,N/A,https://poshmark.com/LISTING/LULULEMON-YOGA-PANTS-6-5FF52F0C463D4F31216506A4
9,LULULEMON SPEED UP MR TIGHT 28” LW5BUVS METROPOLIS GLOW MULTI WOMENS SIZE 6,6,LULULEMON ATHLETICA,70,N/A,https://poshmark.com/LISTING/LULULEMON-SPEED-UP-MR-TIGHT-28-LW5BUVS-METROPOLIS-GLOW-MULTI-WOMENS-SIZE-6-614F331AD1BB42EC2E8D4CD8
10,LULULEMON | GRAY CEREMONY JOGGER SWEATPANTS,4,LULULEMON ATHLETICA,45,N/A,https://poshmark.com/LISTING/LULULEMON-GRAY-CEREMONY-JOGGER-SWEATPANTS-613BC97EBCDB2F27FE2D894A
11,LULULEMON SIZE 8 HEATHER BLACK BELT IT OUT CROP PANTS,8,LULULEMON ATHLETICA,34,N/A,https://poshmark.com/LISTING/LULULEMON-SIZE-8-HEATHER-BLACK-BELT-IT-OUT-CROP-PANTS-6152B0EEB9190EC4D2A05F72
12,"LULULEMON FAST & FREE CROP (19"")",2,LULULEMON ATHLETICA,65,N/A,https://poshmark.com/LISTING/LULULEMON-FAST-FREE-CROP-19-60F3257E7F80D23341C18700
13,LULULEMON WUNDER UNDER CROP *REVERSIBLE,4,LULULEMON ATHLETICA,45,N/A,https://poshmark.com/LISTING/LULULEMON-WUNDER-UNDER-CROP-REVERSIBLE-6067855C800F64DF9B0938A6
14,"LULULEMON ALIGN™ PANT 25"" CLARET",N/A,LULULEMON ATHLETICA,86,NWT,https://poshmark.com/LISTING/LULULEMON-ALIGN-PANT-25-CLARET-615832A313F1B6E78C84C5F1
15,LULULEMON HEAT THE STREET'S BORDEAUX DRAMA,4,LULULEMON ATHLETICA,55,N/A,https://poshmark.com/LISTING/LULULEMON-HEAT-THE-STREETS-BORDEAUX-DRAMA-6123F5ACCE1E871F7619C0AD
16,"LULULEMON SEEK THE HEAT CROP BLACK, SIZE 4",4,LULULEMON ATHLETICA,98,N/A,https://poshmark.com/LISTING/LULULEMON-SEEK-THE-HEAT-CROP-BLACK-SIZE-4-60C3D94060FDEDD3A962E307
17,LULULEMON CARRY AND GO PANT II HEATHERED BLACK,4,LULULEMON ATHLETICA,64,N/A,https://poshmark.com/LISTING/LULULEMON-CARRY-AND-GO-PANT-II-HEATHERED-BLACK-616B52CC8AE37CAC27E81859
18,LULULEMON SPEED TIGHT IV *RULU,4,LULULEMON ATHLETICA,60,N/A,https://poshmark.com/LISTING/LULULEMON-SPEED-TIGHT-IV-RULU-60D7704109D7608A26D5CD05
19,LULULEMON NEXT MOVE CROP,8,LULULEMON ATHLETICA,68,N/A,https://poshmark.com/LISTING/LULULEMON-NEXT-MOVE-CROP-60E082E8CB23AA75C91442A4
20,LULULEMON WATER BOUND CROP BLACK PEACH 8,8,LULULEMON ATHLETICA,39,N/A,https://poshmark.com/LISTING/LULULEMON-WATER-BOUND-CROP-BLACK-PEACH-8-617472C88E86608A3A253F8F
21,LULULEMON WUNDER UNDER CROP - BLACK,4,LULULEMON ATHLETICA,45,N/A,https://poshmark.com/LISTING/LULULEMON-WUNDER-UNDER-CROP-BLACK-606783B67F80D2FBC342F780
22,LULULEMON GROOVE FLARE LEGGINGS IN ASTRO BLUE & WHITE CHEVRON,6,LULULEMON ATHLETICA,38,N/A,https://poshmark.com/LISTING/LULULEMON-GROOVE-FLARE-LEGGINGS-IN-ASTRO-BLUE-WHITE-CHEVRON-616DE1FDD737FD011B7DA133
23,RARE LULULEMON PACE RIVAL CROP POP CUT BOOM JUICE,4,LULULEMON ATHLETICA,62,N/A,https://poshmark.com/LISTING/RARE-LULULEMON-PACE-RIVAL-CROP-POP-CUT-BOOM-JUICE-60EAE022163DF4B29EF037EA
24,LULULEMON WUNDER UNDER CROP LEGGINGS DARK GRAY 10,10,LULULEMON ATHLETICA,62,N/A,https://poshmark.com/LISTING/LULULEMON-WUNDER-UNDER-CROP-LEGGINGS-DARK-GRAY-10-611E6A5AC936AFA55CF5CD5C
25,LULULEMON ON THE FLY PANTS,2,LULULEMON ATHLETICA,75,N/A,https://poshmark.com/LISTING/LULULEMON-ON-THE-FLY-PANTS-61383FC7941F170E70CC1B64
26,"LULULEMON ALIGN™ HIGH-RISE PANT WITH POCKETS 25""",4,LULULEMON ATHLETICA,128,NWT,https://poshmark.com/LISTING/LULULEMON-ALIGN-HIGHRISE-PANT-WITH-POCKETS-25-6175F249BCBB527724D5A067
27,LULULEMON MEMBERSHIP ALIGN PANT,N/A,LULULEMON ATHLETICA,135,NWT,https://poshmark.com/LISTING/LULULEMON-MEMBERSHIP-ALIGN-PANT-6168E3A46E2846D1482242DE
28,LULULEMON HIGH RISE TRANSCEND CROP,6,LULULEMON ATHLETICA,65,N/A,https://poshmark.com/LISTING/LULULEMON-HIGH-RISE-TRANSCEND-CROP-6138FA82C32EE6D4A1538855
29,LULULEMON RUN: INSPIRE CROP BLACK,4,LULULEMON ATHLETICA,42,N/A,https://poshmark.com/LISTING/LULULEMON-RUN-INSPIRE-CROP-BLACK-616B5107BCBB52A2A84B499D
30,NWT LULULEMON BASE PACE HR 25. SIZE 4. BLACK.,4,LULULEMON ATHLETICA,92,BOUTIQUE,https://poshmark.com/LISTING/NWT-LULULEMON-BASE-PACE-HR-25-SIZE-4-BLACK-616B08973751F594E69B8643
31,LULULEMON PURPLE & HEATHERED BLACK GATHER & CROW SZ 4,4,LULULEMON ATHLETICA,30,N/A,https://poshmark.com/LISTING/LULULEMON-PURPLE-HEATHERED-BLACK-GATHER-CROW-SZ-4-614E5182284E99552D0F963E
32,LULULEMON FLORAL MESH CROP LEGGINGS,8,LULULEMON ATHLETICA,65,N/A,https://poshmark.com/LISTING/LULULEMON-FLORAL-MESH-CROP-LEGGINGS-60D006BFC32EE62524A81E86
33,"LULULEMON ALIGN CROP 23"" DIAMOND DYE LEGGINGS SIZE 10 LARGE WOMENS NEW",10,LULULEMON ATHLETICA,80,NWT,https://poshmark.com/LISTING/LULULEMON-ALIGN-CROP-23-DIAMOND-DYE-LEGGINGS-SIZE-10-LARGE-WOMENS-NEW-6175E6FC7F80D24F49EFB71F
34,LULULEMON STREET TO STUDIO BLACK JOGGER PANTS 4,4,LULULEMON ATHLETICA,65,N/A,https://poshmark.com/LISTING/LULULEMON-STREET-TO-STUDIO-BLACK-JOGGER-PANTS-4-61557ADD81A36CAEEBC52A98
35,LULULEMON HOP TO IT CROP *FULL-ON LUXTREME,4,LULULEMON ATHLETICA,67,N/A,https://poshmark.com/LISTING/LULULEMON-HOP-TO-IT-CROP-FULLON-LUXTREME-6042673D463D4FCCC2F4B17A
36,LULULEMON 'HEAT IT UP CROP' BLEACHED CORAL XS 4,XS,LULULEMON ATHLETICA,35,N/A,https://poshmark.com/LISTING/LULULEMON-HEAT-IT-UP-CROP-BLEACHED-CORAL-XS-4-5C8553D55BBB80B5DB97B916
37,LULULEMON SCRUNCH ANKLE LEGGING,4,LULULEMON ATHLETICA,38,N/A,https://poshmark.com/LISTING/LULULEMON-SCRUNCH-ANKLE-LEGGING-608AF4AF7F80D28871C6E565
38,LULULEMON WUNDER UNDER PARALLEL STRIPE LEGGINGS 8,8,LULULEMON ATHLETICA,108,N/A,https://poshmark.com/LISTING/LULULEMON-WUNDER-UNDER-PARALLEL-STRIPE-LEGGINGS-8-6154F440163DF4106518FBE6
39,"LULULEMON WUNDER UNDER HIGH-RISE CROP 21""",6,LULULEMON ATHLETICA,84,NWT,https://poshmark.com/LISTING/LULULEMON-WUNDER-UNDER-HIGHRISE-CROP-21-6168E52660FDED1726256FEF
40,"LULULEMON ALIGN HIGH RISE LEGGINGS SIZE 8 BLACK 28""",8,LULULEMON ATHLETICA,50,N/A,https://poshmark.com/LISTING/LULULEMON-ALIGN-HIGH-RISE-LEGGINGS-SIZE-8-BLACK-28-61774BF660FDED536915EAFA
41,LULULEMON WUNDER UNDER BLACK CROP LEGGINGS,4,LULULEMON ATHLETICA,20,N/A,https://poshmark.com/LISTING/LULULEMON-WUNDER-UNDER-BLACK-CROP-LEGGINGS-5F29CCD8771B8E5EC7C7088C
42,LULULEMON IN THE FLOW CROP VERY GREEN,12,LULULEMON ATHLETICA,45,N/A,https://poshmark.com/LISTING/LULULEMON-IN-THE-FLOW-CROP-VERY-GREEN-6123EF16D737FD28A617D098
43,LULULEMON SIZE 2 BLOOMING SWEATY ENDEAVOR TIGHT LEGGINGS,2,LULULEMON ATHLETICA,50,N/A,https://poshmark.com/LISTING/LULULEMON-SIZE-2-BLOOMING-SWEATY-ENDEAVOR-TIGHT-LEGGINGS-6152AFE5F9C382030FCA42C0
44,LULULEMON WUNDER UNDER PANT SE DANCE LEGGINGS,8,LULULEMON ATHLETICA,42,N/A,https://poshmark.com/LISTING/LULULEMON-WUNDER-UNDER-PANT-SE-DANCE-LEGGINGS-612D8281920786529D0A4039
45,LULULEMON WUNDER UNDER CROP BLACK QUILTING,6,LULULEMON ATHLETICA,45,N/A,https://poshmark.com/LISTING/LULULEMON-WUNDER-UNDER-CROP-BLACK-QUILTING-606784D7AE766F9D4439F08E
46,LULULEMON UP THE PACE CROP BLACK / SWEET SPOT,4,LULULEMON ATHLETICA,45,N/A,https://poshmark.com/LISTING/LULULEMON-UP-THE-PACE-CROP-BLACK-SWEET-SPOT-5F65034CCB692C75F1A58034
47,LULULEMON GROVE REVERSIBLE BLACK YOGA FLARE PANTS,8,LULULEMON ATHLETICA,29,N/A,https://poshmark.com/LISTING/LULULEMON-GROVE-REVERSIBLE-BLACK-YOGA-FLARE-PANTS-616C8B2E93649FF505A0B19F
48,LULULEMON WUNDER UNDER CROP SALMON STRIPED LEGGING,4,LULULEMON ATHLETICA,14,N/A,https://poshmark.com/LISTING/LULULEMON-WUNDER-UNDER-CROP-SALMON-STRIPED-LEGGING-60C13CF6633CFC26A6EE37D7
49,LULULEMON HIGH RISE TRANSCEND CROP,6,LULULEMON ATHLETICA,65,N/A,https://poshmark.com/LISTING/LULULEMON-HIGH-RISE-TRANSCEND-CROP-6138FA82C32EE6D4A1538855
50,"LULULEMON WUNDER UNDER HI-RISE 17"" INSEAM 1/2 TIGHT FULL-ON LUXTREME IN NAVY",8,LULULEMON ATHLETICA,45,N/A,https://poshmark.com/LISTING/LULULEMON-WUNDER-UNDER-HIRISE-17-INSEAM-12-TIGHT-FULLON-LUXTREME-IN-NAVY-6176BDBA43895FE5B2092188
51,LULULEMON PRESENCE PANT BEACH BLANKET B,6,LULULEMON ATHLETICA,70,N/A,https://poshmark.com/LISTING/LULULEMON-PRESENCE-PANTBEACH-BLANKET-B-60A6C6EA60FDEDC660FCE022
52,LULULEMON BLACK ENERGIZE PANT BLACK SIZE 6,6,LULULEMON ATHLETICA,52,N/A,https://poshmark.com/LISTING/LULULEMON-BLACK-ENERGIZE-PANT-BLACK-SIZE-6-60F9BD8347E0E4AC31DBE576
53,LULULEMON WUNDER UNDER CROP LEGGINGS 4,4,LULULEMON ATHLETICA,45,N/A,https://poshmark.com/LISTING/LULULEMON-WUNDER-UNDER-CROP-LEGGINGS-4-610B15FC284E998683EF608E
54,LULULEMON LEGGINGS,4,LULULEMON ATHLETICA,65,N/A,https://poshmark.com/LISTING/LULULEMON-LEGGINGS-60CA5E3C93649FADA9B6D2CD
55,"LULULEMON SPEED WUNDER TIGHT 28"" SPARK",4,LULULEMON ATHLETICA,96,NWT,https://poshmark.com/LISTING/LULULEMON-SPEED-WUNDER-TIGHT-28-SPARK-615D8FFE7EC30C7F2E241B44
56,LULULEMON INSPIRE TIGHT FLORAL PAINT STORM,4,LULULEMON ATHLETICA,54,N/A,https://poshmark.com/LISTING/LULULEMON-INSPIRE-TIGHT-FLORAL-PAINT-STORM-60065C971801368AD0201583
57,LULULEMON ON THE RIGHT TRACK PANTS NWT,12,LULULEMON ATHLETICA,99,NWT,https://poshmark.com/LISTING/LULULEMON-ON-THE-RIGHT-TRACK-PANTS-NWT-611957286914125F12085230
58,LULULEMON ACRO CROP HEATHERED BLACK,6,LULULEMON ATHLETICA,70,N/A,https://poshmark.com/LISTING/LULULEMON-ACRO-CROPHEATHERED-BLACK-60A6D68618013672EA6B57C6
59,LULULEMON STOP AT NOTHING AQUAMARINE CROP LEGGINGS,8,LULULEMON ATHLETICA,35,N/A,https://poshmark.com/LISTING/LULULEMON-STOP-AT-NOTHING-AQUAMARINE-CROP-LEGGINGS-6118859681A36CC3225B10FB
60,LULULEMON CAPRI WIDE LEG LEGGINGS,6,LULULEMON ATHLETICA,25,N/A,https://poshmark.com/LISTING/LULULEMON-CAPRI-WIDE-LEG-LEGGINGS-615A16D909D760BBC9E8178D
61,🍋LULULEMON ASTRO PANT (REGULAR) *FULL-ON LUON,8,LULULEMON ATHLETICA,55,N/A,https://poshmark.com/LISTING/LULULEMON-ASTRO-PANT-REGULAR-FULLON-LUON-616AC435C936AFAA7FD98117
62,LULULEMON ALIGN LEGGING,8,LULULEMON ATHLETICA,95,N/A,https://poshmark.com/LISTING/LULULEMON-ALIGN-LEGGING-610C6DC093649F7C78052738
63,LULULEMON ACRO CROPS SILICONE LOGO PEACOCK FEATHER,4,LULULEMON ATHLETICA,100,N/A,https://poshmark.com/LISTING/LULULEMON-ACRO-CROPS-SILICONE-LOGO-PEACOCK-FEATHER-6164DA98545A799CC7CF5036
64,LULULEMON SPEED TIGHT III - WATERCOLOR LEGGINGS,4,LULULEMON ATHLETICA,89,N/A,https://poshmark.com/LISTING/LULULEMON-SPEED-TIGHT-III-WATERCOLOR-LEGGINGS-6170DC69FADBA477F5693BFF
65,LULULEMON WUNDER UNDER HI-RISE TIGHT * 28,2,LULULEMON ATHLETICA,70,N/A,https://poshmark.com/LISTING/LULULEMON-WUNDER-UNDER-HIRISE-TIGHT-28-60883332C693BDFDBD84ADC6
66,LULULEMON YOGA PANTS 6,6,LULULEMON ATHLETICA,36,N/A,https://poshmark.com/LISTING/LULULEMON-YOGA-PANTS-6-5FF52F0C463D4F31216506A4
67,LULULEMON SPEED UP MR TIGHT 28” LW5BUVS METROPOLIS GLOW MULTI WOMENS SIZE 6,6,LULULEMON ATHLETICA,70,N/A,https://poshmark.com/LISTING/LULULEMON-SPEED-UP-MR-TIGHT-28-LW5BUVS-METROPOLIS-GLOW-MULTI-WOMENS-SIZE-6-614F331AD1BB42EC2E8D4CD8
68,LULULEMON | GRAY CEREMONY JOGGER SWEATPANTS,4,LULULEMON ATHLETICA,45,N/A,https://poshmark.com/LISTING/LULULEMON-GRAY-CEREMONY-JOGGER-SWEATPANTS-613BC97EBCDB2F27FE2D894A
69,LULULEMON SIZE 8 HEATHER BLACK BELT IT OUT CROP PANTS,8,LULULEMON ATHLETICA,34,N/A,https://poshmark.com/LISTING/LULULEMON-SIZE-8-HEATHER-BLACK-BELT-IT-OUT-CROP-PANTS-6152B0EEB9190EC4D2A05F72
70,"LULULEMON FAST & FREE CROP (19"")",2,LULULEMON ATHLETICA,65,N/A,https://poshmark.com/LISTING/LULULEMON-FAST-FREE-CROP-19-60F3257E7F80D23341C18700
71,LULULEMON WUNDER UNDER CROP *REVERSIBLE,4,LULULEMON ATHLETICA,45,N/A,https://poshmark.com/LISTING/LULULEMON-WUNDER-UNDER-CROP-REVERSIBLE-6067855C800F64DF9B0938A6
72,"LULULEMON ALIGN™ PANT 25"" CLARET",N/A,LULULEMON ATHLETICA,86,NWT,https://poshmark.com/LISTING/LULULEMON-ALIGN-PANT-25-CLARET-615832A313F1B6E78C84C5F1
73,LULULEMON HEAT THE STREET'S BORDEAUX DRAMA,4,LULULEMON ATHLETICA,55,N/A,https://poshmark.com/LISTING/LULULEMON-HEAT-THE-STREETS-BORDEAUX-DRAMA-6123F5ACCE1E871F7619C0AD
74,"LULULEMON SEEK THE HEAT CROP BLACK, SIZE 4",4,LULULEMON ATHLETICA,98,N/A,https://poshmark.com/LISTING/LULULEMON-SEEK-THE-HEAT-CROP-BLACK-SIZE-4-60C3D94060FDEDD3A962E307
75,LULULEMON CARRY AND GO PANT II HEATHERED BLACK,4,LULULEMON ATHLETICA,64,N/A,https://poshmark.com/LISTING/LULULEMON-CARRY-AND-GO-PANT-II-HEATHERED-BLACK-616B52CC8AE37CAC27E81859
76,LULULEMON SPEED TIGHT IV *RULU,4,LULULEMON ATHLETICA,60,N/A,https://poshmark.com/LISTING/LULULEMON-SPEED-TIGHT-IV-RULU-60D7704109D7608A26D5CD05
77,LULULEMON NEXT MOVE CROP,8,LULULEMON ATHLETICA,68,N/A,https://poshmark.com/LISTING/LULULEMON-NEXT-MOVE-CROP-60E082E8CB23AA75C91442A4
78,LULULEMON WATER BOUND CROP BLACK PEACH 8,8,LULULEMON ATHLETICA,39,N/A,https://poshmark.com/LISTING/LULULEMON-WATER-BOUND-CROP-BLACK-PEACH-8-617472C88E86608A3A253F8F
79,LULULEMON WUNDER UNDER CROP - BLACK,4,LULULEMON ATHLETICA,45,N/A,https://poshmark.com/LISTING/LULULEMON-WUNDER-UNDER-CROP-BLACK-606783B67F80D2FBC342F780
80,LULULEMON GROOVE FLARE LEGGINGS IN ASTRO BLUE & WHITE CHEVRON,6,LULULEMON ATHLETICA,38,N/A,https://poshmark.com/LISTING/LULULEMON-GROOVE-FLARE-LEGGINGS-IN-ASTRO-BLUE-WHITE-CHEVRON-616DE1FDD737FD011B7DA133
